[15:51:01] src/nnvm/legacy_json_util.cc:190: Loading symbol saved by previous version v0.8.0. Attempting to upgrade...
[15:51:01] src/nnvm/legacy_json_util.cc:198: Symbol successfully upgraded!
note: caffe model don't have 'flatten0', but 'flatten_0'
note: don't have flatten_0, but flatten
[15:51:01] src/io/iter_image_recordio.cc:220: ImageRecordIOParser: ../../data/ism-train_train.rec, use 4 threads for decoding..
[15:51:03] src/io/iter_image_recordio.cc:220: ImageRecordIOParser: ../../data/ism-train_val.rec, use 4 threads for decoding..
2017-07-21 15:56:12,582 Epoch[13] Batch [40]	Speed: 105.72 samples/sec	Train-accuracy=0.960417
2017-07-21 15:56:14,397 Epoch[13] Train-accuracy=0.947917
2017-07-21 15:56:14,397 Epoch[13] Time cost=20.183
2017-07-21 15:56:14,773 Saved checkpoint to "../../models/pretrained-models/inception-bn/Inception-BN-train-224-lr-0.01-momentum-0.9-0014.params"
2017-07-21 15:56:15,090 Epoch[13] Validation-accuracy=0.885417
2017-07-21 15:56:19,795 Epoch[14] Batch [10]	Speed: 105.70 samples/sec	Train-accuracy=0.954545
2017-07-21 15:56:24,344 Epoch[14] Batch [20]	Speed: 105.52 samples/sec	Train-accuracy=0.956250
2017-07-21 15:56:28,889 Epoch[14] Batch [30]	Speed: 105.63 samples/sec	Train-accuracy=0.943750
2017-07-21 15:56:33,431 Epoch[14] Batch [40]	Speed: 105.68 samples/sec	Train-accuracy=0.970833
2017-07-21 15:56:35,704 Epoch[14] Train-accuracy=0.945833
2017-07-21 15:56:35,705 Epoch[14] Time cost=20.614
2017-07-21 15:56:36,074 Saved checkpoint to "../../models/pretrained-models/inception-bn/Inception-BN-train-224-lr-0.01-momentum-0.9-0015.params"
2017-07-21 15:56:36,528 Epoch[14] Validation-accuracy=0.902778
2017-07-21 15:56:41,272 Epoch[15] Batch [10]	Speed: 105.48 samples/sec	Train-accuracy=0.941288
2017-07-21 15:56:45,810 Epoch[15] Batch [20]	Speed: 105.78 samples/sec	Train-accuracy=0.966667
